pb_acc	gene
ENSMUST00000027866.11	Blzf1
ENSMUST00000027867.7	Ccdc181
ENSMUST00000027871.13	Sell
ENSMUST00000027874.7	Sele
ENSMUST00000027876.11	Scyl3
ENSMUST00000027877.7	Kifap3
ENSMUST00000027878.14	Prrx1
ENSMUST00000027881.15	Sec16b
ENSMUST00000027884.13	Tex35
ENSMUST00000027885.8	Angptl1
ENSMUST00000027886.14	Ralgps2
ENSMUST00000027888.13	Abl2
ENSMUST00000027895.8	Axdnd1
ENSMUST00000027896.10	Nphs2
ENSMUST00000027897.8	Smyd2
ENSMUST00000027898.7	Ptpn14
ENSMUST00000027906.13	Esrrg
ENSMUST00000027908.13	Spata17
ENSMUST00000027916.13	Bpnt1
ENSMUST00000027921.11	Iars2
ENSMUST00000027929.10	Mark1
ENSMUST00000027931.8	Nek2
ENSMUST00000027933.11	Dtl
ENSMUST00000027940.6	Pacc1
ENSMUST00000027941.14	Atf3
ENSMUST00000027943.6	Batf3
ENSMUST00000027945.6	Tatdn3
ENSMUST00000027947.13	Angel2
ENSMUST00000027952.12	Plxna2
ENSMUST00000027959.11	Cfap126
ENSMUST00000027966.14	Fcgr2b
ENSMUST00000027970.14	Dusp12
ENSMUST00000027974.7	Atf6
ENSMUST00000027979.14	Uhmk1
ENSMUST00000027981.8	Uap1
ENSMUST00000027985.8	Ddr2
ENSMUST00000027989.13	Hsd17b7
ENSMUST00000027991.12	Rgs4
ENSMUST00000027997.9	Rgs5
ENSMUST00000028000.13	Nuf2
ENSMUST00000028003.9	Lmx1a
ENSMUST00000028004.11	Aldh9a1
ENSMUST00000028005.3	Mgst3
ENSMUST00000028010.9	Fmo3
ENSMUST00000028014.10	Fmo4
ENSMUST00000028016.16	Prrc2c
ENSMUST00000028017.16	Mettl13
ENSMUST00000028020.11	Myoc
ENSMUST00000028021.7	Pigc
ENSMUST00000028024.5	Tnfsf4
ENSMUST00000028035.14	Cenpl
ENSMUST00000028049.13	Rabgap1l
ENSMUST00000028052.12	Rabgap1l
ENSMUST00000028061.9	4930562F07Rik
